from,to,weight
heidenheim,ksc,2
nuernberg,heidenheim,2
regensburg,heidenheim,1
paderborn,heidenheim,1
braunschweig,heidenheim,1
stgallen,heidenheim,1
bielefeld,vfbstuttgart,1
heidenheim,Holstein Kiel,1
exeter,portsmouth,1
stokecityyouth,westhamyouth,1
aue,vfbstuttgart,1
heidenheim,sandhausen,1
vfbstuttgart,bayer,1
dresden,heidenheim,1
heidenheim,vfbstuttgart,1
osnabrueck,heidenheim,1
bielefeld,heidenheim,1
fuerth,heidenheim,1
hannover,heidenheim,1
heidenheim,aue,1
heidenheim,werder,1
vfbstuttgart,hsv,1
heidenheim,wiesbaden,1
armenien,liechtenstein,1
wiesbaden,vfbstuttgart,1
darmstadt,heidenheim,1
sandhausen,heidenheim,1
heidenheim,ulm,1
heidenheim,osnabrueck,1
middlesbrough,heidenheim,1
ingolstadt,heidenheim,1
heidenheim,aue,1
koeln,heidenheim,1
hannover,vfbstuttgart,1
regensburg,heidenheim,1
bvb,augsburg,1
augsburg,vfbstuttgart,1
frankfurt,vfbstuttgart,1
duesseldorf,ulm,1
frankfurt,ulm,1
atleticomadrid,vfbstuttgart,1
ulm,ilshofen,1
hoffenheim,vfbstuttgart,1
schalke,vfbstuttgart,1
bvb,vfbstuttgart,1
aue,vfbstuttgart,1
heidenheim,vfbstuttgart,1
ravensburg,ulm,1
